zipcode,medhome,sqfthome,rent
46938,65100,49,748
54947,158900,0,886
53021,214800,0,1483
93667,249900,140,1380
97341,275700,187,1423
88008,167200,99,1146
76682,113200,71,1083
12196,216000,130,1677
13812,106400,71,1433
54217,160300,0,1132
27018,120000,78,1046
93265,223700,133,1223
48835,149000,95,1178
44677,126600,88,1120
14477,124600,83,1385
45871,121300,71,1104
97127,207100,134,1341
16651,65700,0,994
8097,173600,98,1692
18930,333900,186,1824
2892,272400,166,1622
81303,329900,204,1667
47598,70900,55,729
33043,393500,319,2890
97465,194200,153,1175
29704,145200,0,1196
30079,123400,92,960
29104,60800,53,756
14873,83900,57,1324
28660,133300,95,978
18977,537800,198,2825
49021,120700,96,5605
38232,69800,55,789
29458,211400,146,1559
47963,76200,54,806
62539,91800,0,1060
98938,139600,94,964
1543,267100,150,1693
60444,152200,0,1168
37179,270400,132,1842
42784,97600,70,849
95423,161100,134,1126
38488,106500,66,977
12053,136400,0,1294
92036,326600,250,1873
55073,282700,156,1576
51039,159800,110,1071
80536,287400,161,1643
28726,132200,103,970
89429,154600,100,993
72016,124000,75,929
14591,116700,69,1385
26180,91200,0,894
98261,458700,310,1645
36505,114000,73,1001
12458,106700,88,1292
45065,143900,95,1284
27050,125700,87,1047
1054,305100,148,2026
3860,182100,128,1265
48050,217500,140,1260
37360,170800,89,1183
3444,242500,109,1751
18346,89900,66,1131
29689,163900,113,1085
27928,102800,0,900
44286,261500,124,2092
29635,178500,118,1263
54106,145600,0,1049
18325,136000,84,1230
12918,108500,80,1536
5763,177300,0,1497
15679,124900,98,961
29664,137700,92,1023
18617,44600,0,714
28741,348900,197,1382
71033,118700,79,1099
38366,79000,60,705
35987,108500,71,902
85544,187700,159,1186
60940,144800,0,1207
49095,156800,0,1084
93650,116400,106,983
49346,135500,78,1022
12413,137000,94,1062
64019,166900,89,1016
98546,307400,230,1184
50309,131600,123,1068
13795,104000,78,972
12521,205700,148,1701
61536,126600,93,1241
46076,75700,50,837
49032,100400,0,970
98856,228100,188,1343
33576,163700,100,1299
21849,130400,96,1202
15126,163700,108,1361
35452,160600,94,1181
45845,180900,100,1303
15445,109100,87,1013
75202,213400,216,1462
17959,49900,32,673
78266,385200,133,2374
14422,112700,72,1373
17532,201800,140,1133
33786,519000,341,3066
37149,163800,110,1194
1341,305000,178,1934
14716,61200,41,950
98822,200600,180,1310
37409,95800,62,1047
8063,133600,110,1397
95638,452200,242,1832
37143,172200,113,1296
45306,135800,78,1144
5851,138200,0,1360
37189,182900,104,1416
96073,314700,164,1687
44627,198000,99,1434
73105,94300,66,850
47165,102600,73,926
20861,540700,230,2553
45334,103200,68,923
37810,77900,65,708
97392,234700,146,1422
55327,243500,169,1532
15610,138100,107,1011
98610,166400,128,1289
48831,91400,73,916
21776,287200,170,1792
1506,210500,139,1447
30056,123600,78,1136
54949,122100,0,902
30566,125900,89,1098
53923,129700,0,990
55359,333100,216,1850
21917,213800,144,1439
49305,69600,59,788
95938,374800,190,1629
47126,126400,89,1037
1337,208400,141,1715
47341,91200,62,859
48417,96200,69,817
3745,202200,106,1448
3082,220200,133,1669
3583,151300,93,1209
30218,101100,68,965
49338,86100,0,846
