renters_id,disasterNumber,state,county,zipCode,validRegistrations,totalInspectedWithNoDamage,totalWithModerateDamage,totalWithMajorDamage,totalWithSubstantialDamage,approvedForFemaAssistance,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants
23274,1665,NY,Erie (County),14214,79,51,0,0,0,13,0,3301,8086,13,0,0,0
23275,1665,NY,Erie (County),14221,62,32,0,0,0,7,0,1159,2925,7,0,0,0
23276,1668,LA,Allen (Parish),70532,1,1,0,0,0,0,0,0,0,0,0,0,0
23277,1665,NY,Niagara (County),14094,15,5,0,0,0,1,0,0,186,1,0,0,0
23278,1658,TX,El Paso (County),79903,21,19,0,0,0,8,0,2883,8803,8,0,0,0
23279,1659,NM,Otero (County),88350,1,1,0,0,0,0,0,0,0,0,0,0,0
23280,1664,HI,Hawaii (County),96727,1,1,0,0,0,1,0,0,390,1,0,0,0
23281,1668,LA,Caldwell (Parish),71415,3,3,0,0,0,0,0,0,0,0,0,0,0
23282,1665,NY,Erie (County),14217,48,19,0,0,0,12,0,1452,5563,12,0,0,0
23283,1668,LA,Calcasieu (Parish),70605,3,3,0,0,0,1,0,474,1759,1,0,0,0
23284,1668,LA,Grant (Parish),71423,2,1,0,0,0,1,0,501,1490,1,0,0,0
23285,1668,LA,St. Landry (Parish),70584,2,2,0,0,0,1,0,0,1306,1,0,0,0
23286,1668,LA,Natchitoches (Parish),71449,1,1,0,0,0,1,0,0,500,1,0,0,0
23287,1668,LA,St. Landry (Parish),70501,1,0,0,0,0,0,0,0,0,0,0,0,0
23288,1668,LA,La Salle (Parish),71342,2,2,0,0,0,1,0,0,221,1,0,0,0
23289,1670,NY,Broome (County),13904,25,23,0,0,0,21,0,7037,45377,21,0,0,0
23290,1670,NY,Chenango (County),13411,1,0,0,0,0,0,0,0,0,0,0,0,0
23291,1668,LA,St. Helena (Parish),70706,1,1,0,0,0,0,0,0,0,0,0,0,0
23292,1671,WA,King (County),98007,4,1,0,0,0,1,0,0,2645,1,0,0,0
23293,1671,WA,Pierce (County),98360,9,9,0,0,0,7,0,6320,16635,7,0,0,0
23294,1671,WA,King (County),98288,3,3,0,0,0,2,0,1420,1333,2,0,0,0
23295,1671,WA,King (County),98045,5,4,0,0,0,4,0,4260,684,4,0,0,0
23296,1671,WA,Pierce (County),98405,2,2,0,0,0,1,0,0,1588,1,0,0,0
23297,1671,WA,King (County),98106,2,2,0,0,0,0,0,0,0,0,0,0,0
23298,1671,WA,Skagit (County),98267,2,2,0,0,0,1,0,1170,225,1,0,0,0
23299,1671,WA,Grays Harbor (County),98541,1,1,0,0,0,1,0,918,0,1,0,0,0
23300,1671,WA,Lewis (County),98377,36,33,0,0,0,23,0,22850,53697,22,1,0,0
23301,1671,WA,Snohomish (County),98251,4,2,0,0,0,0,0,0,0,0,0,0,0
23302,1671,WA,Wahkiakum (County),98612,1,1,0,0,0,0,0,0,0,0,0,0,0
23303,1671,WA,Snohomish (County),98293,1,1,0,0,0,0,0,0,0,0,0,0,0
23304,1679,FL,Lake (County),32159,117,108,0,0,0,51,0,39129,63705,51,0,0,0
23305,1649,PA,Wyoming (County),18657,38,35,0,0,0,26,0,13515,54494,25,1,0,0
